company_id,type,rule_id,text,confidence_pct
1,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
1,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
2,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
2,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
3,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
3,con,CON_01,Elevated debt-to-equity ratio warrants close leverage monitoring.,85
4,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
4,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
5,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
5,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
6,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
6,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
7,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
7,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
8,pro,PRO_03,Demonstrates operational resilience and stable market presence.,75
8,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
9,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
9,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
10,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
10,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
11,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
11,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
12,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
12,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
13,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
13,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
14,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
14,con,CON_01,Elevated debt-to-equity ratio warrants close leverage monitoring.,85
15,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
15,con,CON_01,Elevated debt-to-equity ratio warrants close leverage monitoring.,85
16,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
16,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
17,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
17,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
18,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
18,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
19,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
19,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
20,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
20,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
21,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
21,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
22,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
22,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
23,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
23,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
24,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
24,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
25,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
25,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
26,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
26,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
27,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
27,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
28,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
28,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
29,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
29,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
30,pro,PRO_04,Revenue growing at healthy CAGR indicates business momentum.,82
30,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
31,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
31,con,CON_03,Operating margins sensitive to raw material and operational overhead cycles.,72
32,pro,PRO_01,Consistently high return on equity demonstrates strong capital efficiency.,88
